+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       305       |
|                'pînă'               |                'până'               |              replace_words              | verses |       278       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       247       |
|                'atît'               |                'atât'               |              replace_words              | verses |       206       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       179       |
|                'cît'                |                'cât'                |              replace_words              | verses |       167       |
|               'decît'               |               'decât'               |              replace_words              | verses |       164       |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |       161       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       122       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |       114       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       102       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        90       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        80       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        79       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        79       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        77       |
|           'Mîntuitorului'           |           'Mântuitorului'           |              replace_words              | verses |        74       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        69       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        67       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        63       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        58       |
|              '      “'              |                 '“'                 |               strip_spaces              | verses |        57       |
|              '      “'              |              '      “'              |               replace_nbsp              | verses |        57       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        56       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        53       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |        51       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        47       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        46       |
|               'cîteva'              |               'câteva'              |              replace_words              | verses |        45       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        44       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        44       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        44       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        43       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        43       |
|               'încît'               |               'încât'               |              replace_words              | verses |        42       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        41       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        41       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        39       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        38       |
|                '... '               |                '...'                |               strip_spaces              | verses |        37       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        31       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        31       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        31       |
|               'cîţiva'              |               'câţiva'              |              replace_words              | verses |        30       |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        29       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        28       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        28       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        27       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        26       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        26       |
|              'hotărîre'             |              'hotărâre'             |              replace_words              | verses |        26       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        23       |
|            'mîntuitoare'            |            'mântuitoare'            |              replace_words              | verses |        23       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        22       |
|             'hotărîrea'             |             'hotărârea'             |              replace_words              | verses |        22       |
|               'tînăr'               |               'tânăr'               |              replace_words              | verses |        21       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        21       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        21       |
|             'rîndurile'             |             'rândurile'             |              replace_words              | verses |        21       |
|               'rîvna'               |               'râvna'               |              replace_words              | verses |        21       |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        21       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        20       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        20       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        18       |
|              'gîndesc'              |              'gândesc'              |              replace_words              | verses |        18       |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        17       |
|             'Sfîntului'             |             'Sfântului'             |              replace_words              | verses |        16       |
|              'rămînea'              |              'rămânea'              |              replace_words              | verses |        15       |
|               'rîndul'              |               'rândul'              |              replace_words              | verses |        15       |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        15       |
|           'binecuvîntare'           |           'binecuvântare'           |              replace_words              | verses |        15       |
|              'cîntînd'              |              'cântând'              |              replace_words              | verses |        15       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        15       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        14       |
|               'Curînd'              |               'Curând'              |              replace_words              | verses |        14       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        14       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        14       |
|             'răspîndit'             |             'răspândit'             |              replace_words              | verses |        14       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        13       |
|               'cîntă'               |               'cântă'               |              replace_words              | verses |        13       |
|               'cîntec'              |               'cântec'              |              replace_words              | verses |        13       |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        13       |
|               'avînd'               |               'având'               |              replace_words              | verses |        13       |
|               'făcînd'              |               'făcând'              |              replace_words              | verses |        13       |
|               'gîndit'              |               'gândit'              |              replace_words              | verses |        12       |
|               'văzînd'              |               'văzând'              |              replace_words              | verses |        12       |
|              'tînărul'              |              'tânărul'              |              replace_words              | verses |        12       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        12       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        12       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        12       |
|             'mîngîiere'             |             'mângâiere'             |              replace_words              | verses |        12       |
|               'avînt'               |               'avânt'               |              replace_words              | verses |        12       |
|            'răspîndirea'            |            'răspândirea'            |              replace_words              | verses |        12       |
|              'mergînd'              |              'mergând'              |              replace_words              | verses |        11       |
|              'începînd'             |              'începând'             |              replace_words              | verses |        11       |
|               'cîştig'              |               'câştig'              |              replace_words              | verses |        11       |
|              'rugîndu'              |              'rugându'              |              replace_words              | verses |        11       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        11       |
|               'rîvnă'               |               'râvnă'               |              replace_words              | verses |        11       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        11       |
|               'cînte'               |               'cânte'               |              replace_words              | verses |        11       |
|               'cîntăm'              |               'cântăm'              |              replace_words              | verses |        11       |
|             'pămînteşti'            |             'pământeşti'            |              replace_words              | verses |        10       |
|              'hotărîri'             |              'hotărâri'             |              replace_words              | verses |        10       |
|              'gîndindu'             |              'gândindu'             |              replace_words              | verses |        10       |
|                'grîu'               |                'grâu'               |              replace_words              | verses |        10       |
|             'mîntuitor'             |             'mântuitor'             |              replace_words              | verses |        10       |
|             'săptămînă'             |             'săptămână'             |              replace_words              | verses |        10       |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        10       |
|               'plîng'               |               'plâng'               |              replace_words              | verses |        10       |
|               'Sfîntă'              |               'Sfântă'              |              replace_words              | verses |        10       |
|              'rînduri'              |              'rânduri'              |              replace_words              | verses |        10       |
|              'Cîntarea'             |              'Cântarea'             |              replace_words              | verses |        10       |
|             'întîmplat'             |             'întâmplat'             |              replace_words              | verses |        10       |
|              'făcîndu'              |              'făcându'              |              replace_words              | verses |        9        |
|               'Sîntem'              |               'Suntem'              |              replace_words              | verses |        9        |
|               'adînci'              |               'adânci'              |              replace_words              | verses |        9        |
|                'Atît'               |                'Atât'               |              replace_words              | verses |        9        |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        9        |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        9        |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        9        |
|              'Stăpînul'             |              'Stăpânul'             |              replace_words              | verses |        9        |
|                'vînt'               |                'vânt'               |              replace_words              | verses |        9        |
|              'Sîngele'              |              'Sângele'              |              replace_words              | verses |        9        |
|               'cîntat'              |               'cântat'              |              replace_words              | verses |        9        |
|             'gîndurile'             |             'gândurile'             |              replace_words              | verses |        8        |
|              'Cîmpeni'              |              'Câmpeni'              |              replace_words              | verses |        8        |
|             'întîmplare'            |             'întâmplare'            |              replace_words              | verses |        8        |
|              'amîndouă'             |              'amândouă'             |              replace_words              | verses |        8        |
|             'mormîntul'             |             'mormântul'             |              replace_words              | verses |        8        |
|              'tîlcuiri'             |              'tâlcuiri'             |              replace_words              | verses |        8        |
|              'strînse'              |              'strânse'              |              replace_words              | verses |        8        |
|               'dînsul'              |               'dânsul'              |              replace_words              | verses |        8        |
|            'frămîntările'           |            'frământările'           |              replace_words              | verses |        8        |
|               'hîrtie'              |               'hârtie'              |              replace_words              | verses |        8        |
|              'spunînd'              |              'spunând'              |              replace_words              | verses |        8        |
|              'strîngă'              |              'strângă'              |              replace_words              | verses |        8        |
|           'binecuvîntată'           |           'binecuvântată'           |              replace_words              | verses |        8        |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        8        |
|              'cîntării'             |              'cântării'             |              replace_words              | verses |        8        |
|               'plînge'              |               'plânge'              |              replace_words              | verses |        8        |
|             'cîntările'             |             'cântările'             |              replace_words              | verses |        8        |
|           'binecuvîntate'           |           'binecuvântate'           |              replace_words              | verses |        8        |
|                 '? '                |                 '?'                 |               strip_spaces              | verses |        7        |
|               'cîmpul'              |               'câmpul'              |              replace_words              | verses |        7        |
|               'sfîrşi'              |               'sfârşi'              |              replace_words              | verses |        7        |
|              'sămînţa'              |              'sămânţa'              |              replace_words              | verses |        7        |
|              'arătînd'              |              'arătând'              |              replace_words              | verses |        7        |
|              'văzîndu'              |              'văzându'              |              replace_words              | verses |        7        |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        7        |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        7        |
|              'trîmbiţă'             |              'trâmbiţă'             |              replace_words              | verses |        7        |
|              'bătrîni'              |              'bătrâni'              |              replace_words              | verses |        7        |
|             'rînduieli'             |             'rânduieli'             |              replace_words              | verses |        7        |
|               'vîntul'              |               'vântul'              |              replace_words              | verses |        7        |
|               'cerînd'              |               'cerând'              |              replace_words              | verses |        7        |
|              'crescînd'             |              'crescând'             |              replace_words              | verses |        7        |
|              'întîlnit'             |              'întâlnit'             |              replace_words              | verses |        7        |
|              'izbîndă'              |              'izbândă'              |              replace_words              | verses |        7        |
|           'binecuvîntarea'          |           'binecuvântarea'          |              replace_words              | verses |        7        |
|              'rămînem'              |              'rămânem'              |              replace_words              | verses |        7        |
|               'vîndut'              |               'vândut'              |              replace_words              | verses |        7        |
|           'binecuvîntări'           |           'binecuvântări'           |              replace_words              | verses |        7        |
|              'întîlni'              |              'întâlni'              |              replace_words              | verses |        7        |
|              'Mormînt'              |              'Mormânt'              |              replace_words              | verses |        7        |
|           'Binecuvîntează'          |           'Binecuvântează'          |              replace_words              | verses |        6        |
|            'întîmplările'           |            'întâmplările'           |              replace_words              | verses |        6        |
|               'luînd'               |               'luând'               |              replace_words              | verses |        6        |
|              'întîmplă'             |              'întâmplă'             |              replace_words              | verses |        6        |
|               'gîndea'              |               'gândea'              |              replace_words              | verses |        6        |
|             'răspîndite'            |             'răspândite'            |              replace_words              | verses |        6        |
|               'sfînta'              |               'sfânta'              |              replace_words              | verses |        6        |
|             'rînduială'             |             'rânduială'             |              replace_words              | verses |        6        |
|             'adîncirea'             |             'adâncirea'             |              replace_words              | verses |        6        |
|              'căutînd'              |              'căutând'              |              replace_words              | verses |        6        |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        6        |
|             'pămîntului'            |             'pământului'            |              replace_words              | verses |        6        |
|              'luptînd'              |              'luptând'              |              replace_words              | verses |        6        |
|              'cîştigul'             |              'câştigul'             |              replace_words              | verses |        6        |
|              'strînge'              |              'strânge'              |              replace_words              | verses |        6        |
|               'stîncă'              |               'stâncă'              |              replace_words              | verses |        6        |
|             'aşteptînd'             |             'aşteptând'             |              replace_words              | verses |        6        |
|              'cîştiga'              |              'câştiga'              |              replace_words              | verses |        6        |
|               'Lumina               |           'Lumina Satelor'          |       replace_newlines_with_spaces      | verses |        6        |
|               Satelor'              |                                     |                                         |        |                 |
|             '      ...'             |                '...'                |               strip_spaces              | verses |        5        |
|        '      Lumina Satelor'       |           'Lumina Satelor'          |               strip_spaces              | verses |        5        |
|                '”. '                |                 '”.'                |               strip_spaces              | verses |        5        |
|             'stăpînire'             |             'stăpânire'             |              replace_words              | verses |        5        |
|               'mîntui'              |               'mântui'              |              replace_words              | verses |        5        |
|              'aducînd'              |              'aducând'              |              replace_words              | verses |        5        |
|               'ţîşnit'              |               'ţâşnit'              |              replace_words              | verses |        5        |
|              'cerîndu'              |              'cerându'              |              replace_words              | verses |        5        |
|              'cîştige'              |              'câştige'              |              replace_words              | verses |        5        |
