+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       483       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       409       |
|                'pînă'               |                'până'               |              replace_words              | verses |       401       |
|               '     '               |                  ''                 |               strip_spaces              | verses |       327       |
|               '     '               |               '     '               |               replace_nbsp              | verses |       327       |
|                'atît'               |                'atât'               |              replace_words              | verses |       250       |
|                'cît'                |                'cât'                |              replace_words              | verses |       224       |
|               'decît'               |               'decât'               |              replace_words              | verses |       215       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       206       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       187       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |       154       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       119       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       115       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        99       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        97       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |        90       |
|               'cîteva'              |               'câteva'              |              replace_words              | verses |        84       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        69       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        68       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        65       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        65       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        64       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        63       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        62       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        61       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        59       |
|               'încît'               |               'încât'               |              replace_words              | verses |        58       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        58       |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |        57       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        57       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        55       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        53       |
|               'avînd'               |               'având'               |              replace_words              | verses |        53       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        52       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        52       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        52       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        51       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        47       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        44       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        41       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        41       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        39       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        37       |
|             'întîmplat'             |             'întâmplat'             |              replace_words              | verses |        37       |
|             'mormîntul'             |             'mormântul'             |              replace_words              | verses |        36       |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        35       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        35       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        35       |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        34       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        34       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        31       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        31       |
|              'rînduri'              |              'rânduri'              |              replace_words              | verses |        30       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        29       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        29       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        29       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        28       |
|           'Mîntuitorului'           |           'Mântuitorului'           |              replace_words              | verses |        28       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        28       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        27       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        27       |
|              'Stăpîne'              |              'Stăpâne'              |              replace_words              | verses |        26       |
|               'cîţiva'              |               'câţiva'              |              replace_words              | verses |        25       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        24       |
|             'săptămînă'             |             'săptămână'             |              replace_words              | verses |        24       |
|               'Avînd'               |               'Având'               |              replace_words              | verses |        24       |
|              'întîmplă'             |              'întâmplă'             |              replace_words              | verses |        24       |
|                'Isus                |          'Isus Biruitorul'          |       replace_newlines_with_spaces      | verses |        24       |
|             Biruitorul'             |                                     |                                         |        |                 |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        23       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        23       |
|              'spunînd'              |              'spunând'              |              replace_words              | verses |        23       |
