+-------------------------------------+-------------------------------------+-----------------------------------------+-----------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |    Câmp   | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+-----------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              |   verses  |       1279      |
|                 ' '                 |                 ' '                 |               replace_nbsp              |   verses  |       1254      |
|                'cînd'               |                'când'               |              replace_words              |   verses  |       438       |
|                'sînt'               |                'sunt'               |              replace_words              |   verses  |       288       |
|                'cît'                |                'cât'                |              replace_words              |   verses  |       263       |
|                'pînă'               |                'până'               |              replace_words              |   verses  |       192       |
|               'decît'               |               'decât'               |              replace_words              |   verses  |       188       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              |   verses  |       176       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              |   verses  |       163       |
|                'atît'               |                'atât'               |              replace_words              |   verses  |       147       |
|            '      Amin. '           |               'Amin. '              |               strip_spaces              |   verses  |        97       |
|            '      Amin. '           |            '      Amin. '           |               replace_nbsp              |   verses  |        97       |
|                'Cînd'               |                'Când'               |              replace_words              |   verses  |        93       |
|     'Hristos - Modelul  nostru'     |      'Hristos - Modelul nostru'     | replace_multiple_spaces_with_single_one | full_book |        79       |
|     'Hristos - Modelul  nostru'     |      'Hristos - Modelul nostru'     | replace_multiple_spaces_with_single_one |    book   |        79       |
|               'pămînt'              |               'pământ'              |              replace_words              |   verses  |        72       |
|                'cîte'               |                'câte'               |              replace_words              |   verses  |        64       |
|               'lîngă'               |               'lângă'               |              replace_words              |   verses  |        58       |
|               'rămîne'              |               'rămâne'              |              replace_words              |   verses  |        52       |
|               'sfînt'               |               'sfânt'               |              replace_words              |   verses  |        51       |
|               'gîndul'              |               'gândul'              |              replace_words              |   verses  |        50       |
|               'atîta'               |               'atâta'               |              replace_words              |   verses  |        50       |
|               'sîntem'              |               'suntem'              |              replace_words              |   verses  |        48       |
|               'întîi'               |               'întâi'               |              replace_words              |   verses  |        47       |
|               'sfîntă'              |               'sfântă'              |              replace_words              |   verses  |        46       |
|                'gînd'               |                'gând'               |              replace_words              |   verses  |        44       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              |   verses  |        44       |
|               'oricît'              |               'oricât'              |              replace_words              |   verses  |        36       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              |   verses  |        32       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              |   verses  |        32       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              |   verses  |        31       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              |   verses  |        30       |
|               'curînd'              |               'curând'              |              replace_words              |   verses  |        30       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              |   verses  |        28       |
|                'cîtă'               |                'câtă'               |              replace_words              |   verses  |        27       |
|               'atîtea'              |               'atâtea'              |              replace_words              |   verses  |        25       |
|               'încît'               |               'încât'               |              replace_words              |   verses  |        25       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              |   verses  |        24       |
|               'dintîi'              |               'dintâi'              |              replace_words              |   verses  |        23       |
|                 '. '                |                 '.'                 |               strip_spaces              |   verses  |        22       |
|               'adînc'               |               'adânc'               |              replace_words              |   verses  |        22       |
|               'rămîn'               |               'rămân'               |              replace_words              |   verses  |        22       |
|                'Cît'                |                'Cât'                |              replace_words              |   verses  |        22       |
|               'pîinea'              |               'pâinea'              |              replace_words              |   verses  |        21       |
|                'cîţi'               |                'câţi'               |              replace_words              |   verses  |        21       |
|              'mîntuire'             |              'mântuire'             |              replace_words              |   verses  |        21       |
|                'Pînă'               |                'Până'               |              replace_words              |   verses  |        21       |
|               'tîrziu'              |               'târziu'              |              replace_words              |   verses  |        20       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              |   verses  |        19       |
|              'mîinile'              |              'mâinile'              |              replace_words              |   verses  |        19       |
|              'oricînd'              |              'oricând'              |              replace_words              |   verses  |        18       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              |   verses  |        18       |
|             'gîndurile'             |             'gândurile'             |              replace_words              |   verses  |        17       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              |   verses  |        17       |
|                'Mîna'               |                'Mâna'               |              replace_words              |   verses  |        17       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              |   verses  |        17       |
|              'gînduri'              |              'gânduri'              |              replace_words              |   verses  |        16       |
|               'rămînă'              |               'rămână'              |              replace_words              |   verses  |        16       |
|              'rînduit'              |              'rânduit'              |              replace_words              |   verses  |        16       |
|               'pîine'               |               'pâine'               |              replace_words              |   verses  |        16       |
|              'strînge'              |              'strânge'              |              replace_words              |   verses  |        15       |
|               'avînd'               |               'având'               |              replace_words              |   verses  |        14       |
|               'adîncă'              |               'adâncă'              |              replace_words              |   verses  |        14       |
|                'mîna'               |                'mâna'               |              replace_words              |   verses  |        14       |
|               'mîine'               |               'mâine'               |              replace_words              |   verses  |        14       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              |   verses  |        14       |
|               'Oricît'              |               'Oricât'              |              replace_words              |   verses  |        14       |
|              'sfîntul'              |              'sfântul'              |              replace_words              |   verses  |        14       |
|              'vînzător'             |              'vânzător'             |              replace_words              |   verses  |        14       |
|                'rînd'               |                'rând'               |              replace_words              |   verses  |        14       |
|               'cîndva'              |               'cândva'              |              replace_words              |   verses  |        14       |
|             'desăvîrşit'            |             'desăvârşit'            |              replace_words              |   verses  |        13       |
|             'vînzătorul'            |             'vânzătorul'            |              replace_words              |   verses  |        13       |
|                'urît'               |                'urât'               |              replace_words              |   verses  |        13       |
|               'osîndă'              |               'osândă'              |              replace_words              |   verses  |        13       |
|               'rămîi'               |               'rămâi'               |              replace_words              |   verses  |        13       |
|              'plîngînd'             |              'plângând'             |              replace_words              |   verses  |        13       |
|           'binecuvîntaţi'           |           'binecuvântaţi'           |              replace_words              |   verses  |        13       |
