314 articles
+------------------------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| Rămâi la datorie                                           | Traian Dorz |  poezie |       41      |      125      |
| Credeţi lucrările!                                         | Traian Dorz | articol |       50      |      468      |
| Încă sunt departe                                          | Traian Dorz |  poezie |       36      |      106      |
| El a scăpat din mâinile lor...                             | Traian Dorz | articol |       63      |      780      |
| Ce Slăvit Biruitor este Domnul                             | Traian Dorz |  poezie |       36      |      154      |
| Isus S-a dus iarăşi dincolo                                | Traian Dorz | articol |       32      |      406      |
| Doamne, către Tine plâng...                                | Traian Dorz |  poezie |       41      |      176      |
| Tot ce a spus Ioan                                         | Traian Dorz | articol |       29      |      441      |
| De ce nu mă mai mustri?                                    | Traian Dorz |  poezie |       39      |      154      |
| În locul acela                                             | Traian Dorz | articol |       28      |      411      |
| Când harfa mea                                             | Traian Dorz |  poezie |       41      |      113      |
| Preabunul nostru Păstor Isus Hristos                       | Traian Dorz | articol |       31      |      564      |
| Domnul nostru Isus Hristos a zis                           | Traian Dorz | articol |       30      |      154      |
| Rugăciune                                                  | Traian Dorz | articol |       29      |      152      |
| Slavă Ţie Viu Izvor                                        | Traian Dorz |  poezie |       33      |       86      |
| Betania, satul Mariei şi al Martei...                      | Traian Dorz | articol |       54      |      771      |
| Cu cât mai lungă                                           | Traian Dorz |  poezie |       38      |      153      |
| Maria era aceea care...                                    | Traian Dorz | articol |       77      |      890      |
| O, Tu mi-ai dat vederea                                    | Traian Dorz |  poezie |       43      |      148      |
| Acela pe care îl iubeşti Tu...                             | Traian Dorz | articol |       63      |      827      |
| Statornicia                                                | Traian Dorz |  poezie |       41      |      134      |
| Nu spre moarte, ci spre slava Domnului                     | Traian Dorz | articol |       59      |      737      |
| Vor trece iarăşi norii                                     | Traian Dorz |  poezie |       21      |      111      |
| Şi Isus iubea pe Marta...                                  | Traian Dorz | articol |       57      |      839      |
| Să-l binecuvânteze Cerul                                   | Traian Dorz |  poezie |       33      |      126      |
| Lucrul care trebuieşte (În casa Martei)                    | Traian Dorz |  poezie |       47      |      239      |
| Isus... a mai zăbovit                                      | Traian Dorz | articol |       60      |      832      |
| Deşi ştim bine                                             | Traian Dorz |  poezie |       36      |      141      |
| Haidem să ne întoarcem                                     | Traian Dorz | articol |       65      |      806      |
| Grăbeşte-te iubire                                         | Traian Dorz |  poezie |       30      |      165      |
| Învăţătorule... Te întorci iarăşi?                         | Traian Dorz | articol |       64      |      797      |
| Tu n-ai să mori...                                         | Traian Dorz |  poezie |       36      |      138      |
| Nu sunt douăsprezece ceasuri în zi?                        | Traian Dorz | articol |       64      |      785      |
| Cu ce rămâi?                                               | Traian Dorz |  poezie |       36      |      116      |
| Se poticneşte, pentru că n-are - lumina în el.             | Traian Dorz | articol |       65      |      849      |
| Spre Tine, Cel în veci                                     | Traian Dorz |  poezie |       36      |      137      |
| Prietenul nostru doarme!                                   | Traian Dorz | articol |       60      |      859      |
| Nu-mi mai lua Isuse                                        | Traian Dorz |  poezie |       45      |      171      |
| Are să se facă bine!                                       | Traian Dorz | articol |       53      |      773      |
| Eu cred...                                                 | Traian Dorz |  poezie |       36      |      116      |
| Isus vorbise despre... - dar ei credeau că...              | Traian Dorz | articol |       57      |      785      |
| De ce aşa degrabă?                                         | Traian Dorz |  poezie |       26      |      168      |
| Isus le-a spus pe faţă!                                    | Traian Dorz | articol |       63      |      834      |
| Noi ştim c-avem un scop                                    | Traian Dorz |  poezie |       27      |       93      |
| Pentru ca voi să credeţi!                                  | Traian Dorz | articol |       59      |      768      |
| Când mă silesc                                             | Traian Dorz |  poezie |       36      |      139      |
| Haidem... să murim cu El                                   | Traian Dorz | articol |       68      |      828      |
| Nu ştiu cât                                                | Traian Dorz |  poezie |       28      |      154      |
| De patru zile... în mormânt                                | Traian Dorz | articol |       70      |      734      |
| Mi-e veşnică viaţa                                         | Traian Dorz |  poezie |       36      |      194      |
| Aproape de Ierusalim                                       | Traian Dorz | articol |       79      |      760      |
| Nimic nu-i mai frumos                                      | Traian Dorz |  poezie |       41      |      156      |
| Veniseră să le mângâie                                     | Traian Dorz | articol |       52      |      920      |
| Când înţelegi                                              | Traian Dorz |  poezie |       41      |      139      |
| Când a auzit că vine... I-a ieşit înainte                  | Traian Dorz | articol |       62      |      855      |
| Să ne grăbim prieteni                                      | Traian Dorz |  poezie |       33      |      122      |
| Doamne, dacă erai aici!                                    | Traian Dorz | articol |       65      |      766      |
| De vrei să faci                                            | Traian Dorz |  poezie |       38      |      146      |
| Dar şi acuma ştiu...                                       | Traian Dorz | articol |       65      |      777      |
| Tu care-nveţi pe alţii                                     | Traian Dorz |  poezie |       36      |      115      |
| Fratele tău va învia!                                      | Traian Dorz | articol |       60      |      837      |
| Ce ne-a-ntărit?                                            | Traian Dorz |  poezie |       27      |      179      |
| La Înviere, în Ziua de Apoi!                               | Traian Dorz | articol |       66      |      974      |
| Viaţa nu-i sfârşită!                                       | Traian Dorz |  poezie |       31      |      232      |
| Eu sunt Învierea şi Viaţa                                  | Traian Dorz | articol |       66      |      868      |
| Slavă veşnică Luminii                                      | Traian Dorz |  poezie |       34      |      104      |
| Cine trăieşte şi crede, nu va muri! Crezi tu?              | Traian Dorz | articol |       61      |      834      |
| Nu-mi mai aduc aminte şi nici                              | Traian Dorz |  poezie |       39      |      217      |
| ... Da Doamne, cred!                                       | Traian Dorz | articol |       75      |      857      |
| Eu nu renunţ                                               | Traian Dorz |  poezie |       34      |      119      |
| După aceea s-a dus şi a chemat                             | Traian Dorz | articol |       62      |      835      |
| Chiar dac-aş şti                                           | Traian Dorz |  poezie |       36      |      151      |
| Cum a auzit, s-a sculat iute...                            | Traian Dorz | articol |       66      |      847      |
| Tot ce-a fost greu                                         | Traian Dorz |  poezie |       36      |      123      |
| Isus era tot în locul acela                                | Traian Dorz | articol |       57      |      858      |
| Lăsaţi-mă s-alerg                                          | Traian Dorz |  poezie |       36      |      108      |
| ... Când au văzut-o sculându-se                            | Traian Dorz | articol |       51      |      793      |
| Înalţă-te din tina                                         | Traian Dorz |  poezie |       33      |      172      |
| La picioarele lui Isus                                     | Traian Dorz | articol |       55      |      825      |
| Mai dulce-i bucuria                                        | Traian Dorz |  poezie |       36      |      128      |
| Când a văzut-o plângând...                                 | Traian Dorz | articol |       64      |      805      |
| Când inima-i sătulă                                        | Traian Dorz |  poezie |       41      |      182      |
| Când era credinţa bună                                     | Traian Dorz |  poezie |       59      |      238      |
| Unde l-aţi pus?                                            | Traian Dorz | articol |       62      |      905      |
| Nu ne-asculta                                              | Traian Dorz |  poezie |       36      |      101      |
| Isus plângea                                               | Traian Dorz | articol |       72      |      942      |
| O, când mă-ndemni...                                       | Traian Dorz |  poezie |       31      |      125      |
| Cât îl iubea de mult!                                      | Traian Dorz | articol |       58      |      839      |
| Tu eşti Acela care                                         | Traian Dorz |  poezie |       31      |      151      |
| El care a deschis... nu putea?                             | Traian Dorz | articol |       61      |      919      |
| O, lacrimile-acestea...                                    | Traian Dorz |  poezie |       38      |      183      |
| O peşteră... o piatră                                      | Traian Dorz | articol |       58      |      816      |
| De ce n-am fost?                                           | Traian Dorz |  poezie |       31      |      103      |
| Daţi piatra la o parte!                                    | Traian Dorz | articol |       56      |      906      |
| Când un sărac                                              | Traian Dorz |  poezie |       38      |      174      |
| Dacă vei crede, vei vedea!                                 | Traian Dorz | articol |       59      |      1016     |
| Fiinţa mea întreagă                                        | Traian Dorz |  poezie |       30      |      140      |
| Îţi mulţumesc că M-ai ascultat                             | Traian Dorz | articol |       59      |      943      |
| Să nu mai pot uita                                         | Traian Dorz |  poezie |       38      |      156      |
| Pentru norodul care stă împrejur                           | Traian Dorz | articol |       52      |      897      |
| Să nu mai ardem                                            | Traian Dorz |  poezie |       41      |      167      |
| Lazăre vino!                                               | Traian Dorz | articol |       56      |      908      |
| Rugăciune - Doamne Tu                                      | Traian Dorz |  poezie |       42      |      164      |
| Mortul a ieşit afară...                                    | Traian Dorz | articol |       56      |      801      |
| Din zorii zilei mele                                       | Traian Dorz |  poezie |       36      |      160      |
| Când au văzut - au crezut                                  | Traian Dorz | articol |       56      |      907      |
| Să nu-i uităm!                                             | Traian Dorz |  poezie |       28      |      111      |
| Dar unii din ei, s-au dus la farisei                       | Traian Dorz | articol |       57      |      984      |
| Nu mă-nspăimânt!                                           | Traian Dorz |  poezie |       36      |      184      |
