+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       462       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       427       |
|                'cînd'               |                'când'               |              replace_words              | verses |       360       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       217       |
|                'cît'                |                'cât'                |              replace_words              | verses |       187       |
|                'atît'               |                'atât'               |              replace_words              | verses |       161       |
|                'pînă'               |                'până'               |              replace_words              | verses |       147       |
|               'decît'               |               'decât'               |              replace_words              | verses |       134       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       125       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       111       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       107       |
|            '     Amin. '            |               'Amin. '              |               strip_spaces              | verses |        96       |
|            '     Amin. '            |            '     Amin. '            |               replace_nbsp              | verses |        96       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        85       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        56       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        55       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        51       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        45       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        43       |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |        42       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        39       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        38       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        38       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        34       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        33       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        32       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        31       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        31       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        29       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        29       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        28       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        28       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        28       |
|               'încît'               |               'încât'               |              replace_words              | verses |        27       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        26       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        25       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        25       |
|             'desăvîrşit'            |             'desăvârşit'            |              replace_words              | verses |        23       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        23       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        23       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        22       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        22       |
|            'mîntuitoare'            |            'mântuitoare'            |              replace_words              | verses |        21       |
|             'Sfîntului'             |             'Sfântului'             |              replace_words              | verses |        21       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        20       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        20       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        19       |
| '     Mărire înd...e, mărire Ţie. ' | 'Mărire îndelung...e, mărire Ţie. ' |               strip_spaces              | verses |        18       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        18       |
| '     Mărire înd...e, mărire Ţie. ' | '     Mărire înd...e, mărire Ţie. ' |               replace_nbsp              | verses |        18       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        17       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        17       |
|               'Oricît'              |               'Oricât'              |              replace_words              | verses |        16       |
| '     Slavă înde...se, slavă Ţie. ' | 'Slavă îndelung ...se, slavă Ţie. ' |               strip_spaces              | verses |        15       |
|               'osîndă'              |               'osândă'              |              replace_words              | verses |        15       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        15       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        15       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        15       |
| '     Slavă înde...se, slavă Ţie. ' | '     Slavă înde...se, slavă Ţie. ' |               replace_nbsp              | verses |        15       |
|              'hotărîre'             |              'hotărâre'             |              replace_words              | verses |        14       |
|            'Binecuvîntat'           |            'Binecuvântat'           |              replace_words              | verses |        14       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        14       |
|              'Mîinile'              |              'Mâinile'              |              replace_words              | verses |        13       |
|               '     '               |                  ''                 |               strip_spaces              | verses |        12       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        12       |
|               'osînda'              |               'osânda'              |              replace_words              | verses |        12       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        12       |
|              'rînduit'              |              'rânduit'              |              replace_words              | verses |        12       |
|                'Cîtă'               |                'Câtă'               |              replace_words              | verses |        12       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        12       |
|               '     '               |               '     '               |               replace_nbsp              | verses |        12       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        11       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        11       |
|             'gîndurile'             |             'gândurile'             |              replace_words              | verses |        11       |
|             'mîntuitor'             |             'mântuitor'             |              replace_words              | verses |        11       |
|              'sfîntul'              |              'sfântul'              |              replace_words              | verses |        11       |
|                'Cîte'               |                'Câte'               |              replace_words              | verses |        10       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        10       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        10       |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        10       |
|           'Mîntuitorului'           |           'Mântuitorului'           |              replace_words              | verses |        10       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        9        |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        9        |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        9        |
|             'nesfîrşit'             |             'nesfârşit'             |              replace_words              | verses |        9        |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        9        |
|                 ', '                |                 ','                 |               strip_spaces              | verses |        8        |
|             'întîmplări'            |             'întâmplări'            |              replace_words              | verses |        8        |
|             'pămîntului'            |             'pământului'            |              replace_words              | verses |        8        |
|              'întîmple'             |              'întâmple'             |              replace_words              | verses |        8        |
|            'desăvîrşită'            |            'desăvârşită'            |              replace_words              | verses |        8        |
|               'Sfîntă'              |               'Sfântă'              |              replace_words              | verses |        8        |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        8        |
|           'binecuvîntează'          |           'binecuvântează'          |              replace_words              | verses |        8        |
|                'pîn'                |                'pân'                |              replace_words              | verses |        8        |
|                'Cînd'               |                'Când'               |              replace_words              | title  |        8        |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        7        |
|          'înspăimîntătoare'         |          'înspăimântătoare'         |              replace_words              | verses |        7        |
|               'plînge'              |               'plânge'              |              replace_words              | verses |        7        |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        7        |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        7        |
|             'sfîntului'             |             'sfântului'             |              replace_words              | verses |        7        |
|               'stăpîn'              |               'stăpân'              |              replace_words              | verses |        7        |
|              'făcîndu'              |              'făcându'              |              replace_words              | verses |        7        |
|             'hotărîrea'             |             'hotărârea'             |              replace_words              | verses |        7        |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        7        |
|                'urît'               |                'urât'               |              replace_words              | verses |        7        |
|             'vînzătorul'            |             'vânzătorul'            |              replace_words              | verses |        7        |
|            'întîmplările'           |            'întâmplările'           |              replace_words              | verses |        6        |
|               'zicînd'              |               'zicând'              |              replace_words              | verses |        6        |
