+-------------------------------------+-------------------------------------+-----------------------------------------+-----------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |    Câmp   | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+-----------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              |   verses  |       1330      |
|                 ' '                 |                 ' '                 |               replace_nbsp              |   verses  |       1254      |
|                'cînd'               |                'când'               |              replace_words              |   verses  |       429       |
|                'sînt'               |                'sunt'               |              replace_words              |   verses  |       277       |
|               'decît'               |               'decât'               |              replace_words              |   verses  |       243       |
|                'cît'                |                'cât'                |              replace_words              |   verses  |       225       |
|                'pînă'               |                'până'               |              replace_words              |   verses  |       197       |
|                'atît'               |                'atât'               |              replace_words              |   verses  |       185       |
|                'Cînd'               |                'Când'               |              replace_words              |   verses  |       126       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              |   verses  |       109       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              |   verses  |        98       |
|            '      Amin. '           |               'Amin. '              |               strip_spaces              |   verses  |        97       |
|            '      Amin. '           |            '      Amin. '           |               replace_nbsp              |   verses  |        97       |
|               'lîngă'               |               'lângă'               |              replace_words              |   verses  |        91       |
|               'dintîi'              |               'dintâi'              |              replace_words              |   verses  |        68       |
|                'cîte'               |                'câte'               |              replace_words              |   verses  |        66       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | full_book |        65       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              |    book   |        65       |
|               'sfînt'               |               'sfânt'               |              replace_words              |   verses  |        62       |
|              'mîinile'              |              'mâinile'              |              replace_words              |   verses  |        61       |
|               'pămînt'              |               'pământ'              |              replace_words              |   verses  |        59       |
|               'sfîntă'              |               'sfântă'              |              replace_words              |   verses  |        59       |
|               'sîntem'              |               'suntem'              |              replace_words              |   verses  |        59       |
|               'rămîne'              |               'rămâne'              |              replace_words              |   verses  |        56       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              |   verses  |        46       |
|               'curînd'              |               'curând'              |              replace_words              |   verses  |        46       |
|                 '. '                |                 '.'                 |               strip_spaces              |   verses  |        43       |
