+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 'T-'                |                  ''                 |          remove_invalid_verses          | verses |       533       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       427       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       427       |
|                'cînd'               |                'când'               |              replace_words              | verses |       359       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       217       |
|                'cît'                |                'cât'                |              replace_words              | verses |       187       |
|                'atît'               |                'atât'               |              replace_words              | verses |       161       |
|                'pînă'               |                'până'               |              replace_words              | verses |       147       |
|               'decît'               |               'decât'               |              replace_words              | verses |       134       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       121       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       110       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       106       |
|            '     Amin. '            |               'Amin.'               |               strip_spaces              | verses |        96       |
|            '     Amin. '            |            '     Amin. '            |               replace_nbsp              | verses |        96       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        81       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        56       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        55       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        51       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        45       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        43       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        39       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        38       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        38       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        34       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        32       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        32       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        31       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        31       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        29       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        29       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        28       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        28       |
|               'încît'               |               'încât'               |              replace_words              | verses |        27       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        26       |
