232 articles
+-------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                     |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| Slavă veşnică Iertării                    | Traian Dorz |  poezie |       34      |       95      |
| Preaiubit Isus, Jertfa noastră Sfântă     | Traian Dorz | articol |       44      |      946      |
| - capitolul 20 -                          | Traian Dorz | articol |       50      |      172      |
| Slavă veşnică-nvierii                     | Traian Dorz |  poezie |       36      |       85      |
| În ziua cea dintâi a săptămânii...        | Traian Dorz | articol |       65      |      911      |
| Hristos a Înviat din morţi                | Traian Dorz |  poezie |       42      |      128      |
| A alergat                                 | Traian Dorz | articol |       64      |      909      |
| E ceasul sfânt                            | Traian Dorz |  poezie |       24      |      150      |
| Au ieşit şi au plecat                     | Traian Dorz | articol |       64      |      1050     |
| Iubire, nici nu ştiu să spun              | Traian Dorz |  poezie |       38      |      158      |
| Celălalt alerga mai repede                | Traian Dorz | articol |       68      |      972      |
| Iubirii care n-a uitat                    | Traian Dorz |  poezie |       38      |       99      |
| S-a aplecat şi s-a uitat                  | Traian Dorz | articol |       69      |      1070     |
| O, cerule-nstelat!                        | Traian Dorz |  poezie |       41      |      140      |
| A ajuns şi a intrat                       | Traian Dorz | articol |       72      |      1026     |
| Osteneala mântuirii                       | Traian Dorz |  poezie |       36      |      107      |
| În alt loc, singur                        | Traian Dorz | articol |       54      |      919      |
| Oricât să ascult                          | Traian Dorz |  poezie |       39      |      123      |
| A intrat, a văzut, a crezut               | Traian Dorz | articol |       56      |      1000     |
| Puţini ţi-s anii buni                     | Traian Dorz |  poezie |       41      |      166      |
| Isus trebuia să învieze                   | Traian Dorz | articol |       70      |      1062     |
| Slavă Ţie Doamne                          | Traian Dorz |  poezie |       36      |       92      |
| S-au întors acasă                         | Traian Dorz | articol |       65      |      1066     |
| Sfâşierea pocăinţei                       | Traian Dorz |  poezie |       36      |       95      |
| Pe când plângea...                        | Traian Dorz | articol |       57      |      1085     |
| Tot mai rar auzi                          | Traian Dorz |  poezie |       29      |      101      |
| În locul unde fusese Isus                 | Traian Dorz | articol |       63      |      1017     |
| Te-am lăudat din buze                     | Traian Dorz |  poezie |       36      |      151      |
| Domnul meu...                             | Traian Dorz | articol |       72      |      931      |
| Şterge-mi tot                             | Traian Dorz |  poezie |       37      |      130      |
| S-a întors... şi a văzut pe Isus          | Traian Dorz | articol |       59      |      981      |
| Viaţa este slavă                          | Traian Dorz |  poezie |       36      |      139      |
| ... ea a crezut că este grădinarul...     | Traian Dorz | articol |       61      |      950      |
| Fiul meu iubit                            | Traian Dorz |  poezie |       39      |      138      |
