+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       1549      |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       1514      |
|                'cînd'               |                'când'               |              replace_words              | verses |       671       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       397       |
|                'cît'                |                'cât'                |              replace_words              | verses |       353       |
|               'decît'               |               'decât'               |              replace_words              | verses |       259       |
|                'atît'               |                'atât'               |              replace_words              | verses |       244       |
|                'pînă'               |                'până'               |              replace_words              | verses |       236       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       179       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       167       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       157       |
|            '      Amin. '           |               'Amin. '              |               strip_spaces              | verses |       152       |
|            '      Amin. '           |            '      Amin. '           |               replace_nbsp              | verses |       152       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |       104       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        80       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        77       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        73       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        61       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        60       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        56       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        55       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        55       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        52       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        50       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        47       |
|               'încît'               |               'încât'               |              replace_words              | verses |        47       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        43       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        42       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        41       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        40       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        40       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        40       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        39       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        38       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        37       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        37       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        36       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        35       |
|              'rînduit'              |              'rânduit'              |              replace_words              | verses |        34       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        33       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        33       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        30       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        30       |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |        28       |
|            'Binecuvîntat'           |            'Binecuvântat'           |              replace_words              | verses |        28       |
|             'gîndurile'             |             'gândurile'             |              replace_words              | verses |        28       |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        27       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        27       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        26       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        26       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        25       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        25       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        24       |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        24       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        24       |
|               '      '              |                  ''                 |               strip_spaces              | verses |        23       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        23       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        23       |
|               '      '              |               '      '              |               replace_nbsp              | verses |        23       |
|               'făcînd'              |               'făcând'              |              replace_words              | verses |        22       |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        21       |
|             'desăvîrşit'            |             'desăvârşit'            |              replace_words              | verses |        20       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        20       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        20       |
|           'Mîntuitorului'           |           'Mântuitorului'           |              replace_words              | verses |        20       |
|              'Sîngele'              |              'Sângele'              |              replace_words              | verses |        19       |
|            'mîntuitoare'            |            'mântuitoare'            |              replace_words              | verses |        19       |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        18       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        18       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        18       |
|              'Stăpînul'             |              'Stăpânul'             |              replace_words              | verses |        17       |
|             'hotărîrea'             |             'hotărârea'             |              replace_words              | verses |        17       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        17       |
|                'Cînd'               |                'Când'               |              replace_words              | title  |        17       |
|               'avînd'               |               'având'               |              replace_words              | verses |        16       |
|            'desăvîrşită'            |            'desăvârşită'            |              replace_words              | verses |        16       |
|               'gîndi'               |               'gândi'               |              replace_words              | verses |        15       |
|               'Stăpîn'              |               'Stăpân'              |              replace_words              | verses |        15       |
|           'binecuvîntate'           |           'binecuvântate'           |              replace_words              | verses |        15       |
|           'binecuvîntată'           |           'binecuvântată'           |              replace_words              | verses |        15       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        15       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        15       |
|               'blînd'               |               'blând'               |              replace_words              | verses |        14       |
|               'plînge'              |               'plânge'              |              replace_words              | verses |        14       |
|              'întîmplă'             |              'întâmplă'             |              replace_words              | verses |        14       |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        14       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        13       |
|              'hotărîre'             |              'hotărâre'             |              replace_words              | verses |        13       |
|               'văzînd'              |               'văzând'              |              replace_words              | verses |        13       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        13       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        13       |
|             'cîntările'             |             'cântările'             |              replace_words              | verses |        13       |
|               'cînta'               |               'cânta'               |              replace_words              | verses |        13       |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        13       |
|                'Cîtă'               |                'Câtă'               |              replace_words              | verses |        13       |
|              'hotărîri'             |              'hotărâri'             |              replace_words              | verses |        13       |
|               'cîştig'              |               'câştig'              |              replace_words              | verses |        12       |
|               'osînda'              |               'osânda'              |              replace_words              | verses |        12       |
|               'osîndă'              |               'osândă'              |              replace_words              | verses |        12       |
|               'rîvna'               |               'râvna'               |              replace_words              | verses |        12       |
|             'mîngîiere'             |             'mângâiere'             |              replace_words              | verses |        12       |
|               'cîinii'              |               'câinii'              |              replace_words              | verses |        12       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        12       |
|              'nicicînd'             |              'nicicând'             |              replace_words              | verses |        12       |
|               'Facere'              |              'Facerea'              |              replace_words              | verses |        12       |
|            'întîmpinarea'           |            'întâmpinarea'           |              replace_words              | verses |        12       |
|               'avînt'               |               'avânt'               |              replace_words              | verses |        11       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        11       |
|               'Oricît'              |               'Oricât'              |              replace_words              | verses |        11       |
|              'făcîndu'              |              'făcându'              |              replace_words              | verses |        11       |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        11       |
|              'mergînd'              |              'mergând'              |              replace_words              | verses |        11       |
|              'osîndit'              |              'osândit'              |              replace_words              | verses |        11       |
|               'sfîrşi'              |               'sfârşi'              |              replace_words              | verses |        11       |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        11       |
|              'rămînînd'             |              'rămânând'             |              replace_words              | verses |        10       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        10       |
|           'binecuvîntaţi'           |           'binecuvântaţi'           |              replace_words              | verses |        10       |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        10       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        10       |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        10       |
|              'umblînd'              |              'umblând'              |              replace_words              | verses |        10       |
|              'Mîinile'              |              'Mâinile'              |              replace_words              | verses |        10       |
