664 articles
+----------------------------------+-------------+--------+---------------+---------------+
| Titlu                            |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Plânge-n inimi                   | Traian Dorz | poezie |       29      |       92      |
| Când ai zămislit Iubirea         | Traian Dorz | poezie |       43      |      344      |
| Iubesc pe-ai mei                 | Traian Dorz | poezie |       34      |      137      |
| O, cât de vrednic                | Traian Dorz | poezie |       34      |      145      |
| Cum cerbul după ape              | Traian Dorz | poezie |       20      |      104      |
| Spre lumile Luminii              | Traian Dorz | poezie |       23      |      123      |
| Isus, Oceanul Fericirii          | Traian Dorz | poezie |       34      |      131      |
| Frumoase dorurile mele           | Traian Dorz | poezie |       39      |      133      |
| În sfânta ascultare              | Traian Dorz | poezie |       44      |      277      |
| Din harfa unei fără seamăn       | Traian Dorz | poezie |       39      |      169      |
| Am trecut                        | Traian Dorz | poezie |       41      |      142      |
| Cât ai Tu mai mult!              | Traian Dorz | poezie |       41      |      138      |
| Cel din urmă cântec              | Traian Dorz | poezie |       19      |       79      |
| E cineva, cântă                  | Traian Dorz | poezie |       34      |      173      |
| În lunga noapte                  | Traian Dorz | poezie |       34      |      120      |
| Porumbel cu aripi albe           | Traian Dorz | poezie |       35      |      119      |
| Când ochii-n Sus                 | Traian Dorz | poezie |       23      |       64      |
| Când am trecut                   | Traian Dorz | poezie |       24      |       79      |
| Ce-ai dori tu oare?              | Traian Dorz | poezie |       29      |      149      |
| Vreau să iubesc                  | Traian Dorz | poezie |       11      |       67      |
| Iubite, când vei fi...           | Traian Dorz | poezie |       29      |      110      |
| Suspinele Tale                   | Traian Dorz | poezie |       23      |       64      |
| Prima ploaie                     | Traian Dorz | poezie |       19      |       64      |
| Vis                              | Traian Dorz | poezie |       29      |      119      |
| Cine oare?                       | Traian Dorz | poezie |       27      |       98      |
| Am fost aleşi                    | Traian Dorz | poezie |       19      |      148      |
| Am biruit                        | Traian Dorz | poezie |       20      |      117      |
| O, Doamne ce furtuni             | Traian Dorz | poezie |       29      |      114      |
| M-ai izbăvit                     | Traian Dorz | poezie |       24      |      152      |
| Tu ştii cum nopţi                | Traian Dorz | poezie |       19      |       88      |
| Ca o scurgere de ape             | Traian Dorz | poezie |       24      |       88      |
| Când ochii mei                   | Traian Dorz | poezie |       24      |       98      |
| La 20 de ani                     | Traian Dorz | poezie |       26      |      236      |
| Tu vezi adânca sfâşiere          | Traian Dorz | poezie |       24      |      107      |
| E-atât de greu                   | Traian Dorz | poezie |       29      |      106      |
| După arşiţa de-o vară            | Traian Dorz | poezie |       29      |       89      |
| Sub apăsarea Mâinii Tale         | Traian Dorz | poezie |       29      |      113      |
| Din zbuciumul iubirii            | Traian Dorz | poezie |       17      |       88      |
| O, Taina sărutării Lui           | Traian Dorz | poezie |       29      |       96      |
| Unde-i azi?                      | Traian Dorz | poezie |       34      |      101      |
| Cum aş putea?                    | Traian Dorz | poezie |       30      |      135      |
| Stăpân şi Soţ al vieţii mele     | Traian Dorz | poezie |       34      |      137      |
| Iubitul sufletului meu           | Traian Dorz | poezie |       29      |      116      |
| Sunt trandafirul Tău             | Traian Dorz | poezie |       29      |      112      |
| Nu-i cântare care                | Traian Dorz | poezie |       41      |      123      |
| Sfârşit e tot ce-a fost durere   | Traian Dorz | poezie |       41      |      153      |
| De nu ştiţi ce-i iubirea         | Traian Dorz | poezie |       29      |      100      |
| Ţi-e greu acum în lumea rea      | Traian Dorz | poezie |       34      |      134      |
| Dacă ştiţi cum e durerea         | Traian Dorz | poezie |       39      |      109      |
| În faţa Ta plec ochii            | Traian Dorz | poezie |       44      |      169      |
| O, ce frumoasă eşti Iubito       | Traian Dorz | poezie |       44      |      172      |
| Nainte de-a fi fost vecia        | Traian Dorz | poezie |       41      |      147      |
| La poarta ta...                  | Traian Dorz | poezie |       34      |      143      |
| Bolnav de iubire                 | Traian Dorz | poezie |       69      |      363      |
| Unde-I Domnul meu?               | Traian Dorz | poezie |       47      |      184      |
| Eu sunt al Lui                   | Traian Dorz | poezie |       31      |      151      |
| Isuse, nu mai vreau de-acum      | Traian Dorz | poezie |       17      |      110      |
| Cum Ţi-aş putea cânta Isus       | Traian Dorz | poezie |       24      |       90      |
| Ce dor adânc                     | Traian Dorz | poezie |       29      |      124      |
| Din strălucirea Ta               | Traian Dorz | poezie |       24      |       87      |
| Ce Nume Scump                    | Traian Dorz | poezie |       26      |      113      |
| Ce fierbinte e iubirea           | Traian Dorz | poezie |       41      |      168      |
| Când va începe Nunta Noastră     | Traian Dorz | poezie |       34      |      118      |
| Demult Isuse                     | Traian Dorz | poezie |       41      |      164      |
| Izvorât din lacrimi              | Traian Dorz | poezie |       34      |      107      |
| Pentru Tine                      | Traian Dorz | poezie |       35      |      113      |
| Cine mi te-a pus?                | Traian Dorz | poezie |       34      |      113      |
| O, dac-aş fi unit cu Tine        | Traian Dorz | poezie |       41      |      183      |
| Eu sunt al Tău                   | Traian Dorz | poezie |       39      |      160      |
| Undeva                           | Traian Dorz | poezie |       24      |      154      |
| Preaiubitul meu e Unul           | Traian Dorz | poezie |       19      |       67      |
| O, când mi se-ntoarce            | Traian Dorz | poezie |       34      |      152      |
| Îţi mulţumim, Îţi mulţumim       | Traian Dorz | poezie |       24      |      105      |
| Cât de neuitată eşti             | Traian Dorz | poezie |       49      |      229      |
| Doar lângă Tine                  | Traian Dorz | poezie |       29      |      108      |
| În slujba Ta Isuse               | Traian Dorz | poezie |       26      |       80      |
| Se va desface-odată              | Traian Dorz | poezie |       20      |      137      |
| O, dacă tu aveai iubire          | Traian Dorz | poezie |       19      |       83      |
| Cum să nu Te cânt?               | Traian Dorz | poezie |       24      |       84      |
| Mai mult decât...                | Traian Dorz | poezie |       39      |      104      |
| Fericită-i părtăşia              | Traian Dorz | poezie |       14      |       70      |
| Ce liniştiţi sunt paşii Tăi      | Traian Dorz | poezie |       30      |      104      |
| De unde-i cântecul acesta?       | Traian Dorz | poezie |       34      |      135      |
| Aşa Isuse-aş vrea aşa - 1        | Traian Dorz | poezie |       63      |      239      |
| Aşa Isuse-aş vrea aşa - 2        | Traian Dorz | poezie |       63      |      268      |
| O, Cerule, o Cer iubit - 1       | Traian Dorz | poezie |       39      |      183      |
| O, Cerule, o Cer iubit - 2       | Traian Dorz | poezie |       39      |      192      |
| Să Te privesc din plin           | Traian Dorz | poezie |       24      |      102      |
| Frumoasă dragoste dintâi         | Traian Dorz | poezie |       24      |       87      |
| Ce bine-i la limanul...          | Traian Dorz | poezie |       14      |       86      |
| Eu Te păstrez Isuse              | Traian Dorz | poezie |       24      |      146      |
| Tot mai stau                     | Traian Dorz | poezie |       19      |       75      |
| N-am suferit alături             | Traian Dorz | poezie |       19      |       71      |
| Doresc să Te privesc             | Traian Dorz | poezie |       13      |      107      |
| N-am vrut să fiu                 | Traian Dorz | poezie |       19      |      139      |
| Cel slăvit de noi                | Traian Dorz | poezie |       24      |       82      |
| Pe-ntinsul lan...                | Traian Dorz | poezie |       9       |       59      |
| Cum cântăreţii                   | Traian Dorz | poezie |       24      |       91      |
| Ca faţa Dragostei aprinse        | Traian Dorz | poezie |       24      |       93      |
| Lui Dumnezeu să-I dau            | Traian Dorz | poezie |       26      |       93      |
| Chiar dac-ar fi                  | Traian Dorz | poezie |       39      |      197      |
| Eu n-am să mor                   | Traian Dorz | poezie |       18      |      121      |
| Se-ntoarce primăvara             | Traian Dorz | poezie |       14      |       84      |
| Fii larg la inimă...             | Traian Dorz | poezie |       34      |      153      |
| Când sufletul mi-e singur        | Traian Dorz | poezie |       14      |      100      |
| Ce-am cuprins din Tine?          | Traian Dorz | poezie |       29      |       76      |
| Slăvit să fii Slăvit Isus        | Traian Dorz | poezie |       31      |      129      |
