178 articles
+----------------------------+-------------+---------+---------------+---------------+
| Titlu                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| Din părţile Moldovei       | Traian Dorz | articol |      663      |      3692     |
| Din părţile Bucovinei      | Traian Dorz | articol |      840      |      4394     |
| Din părţile Maramureşului  | Traian Dorz | articol |      715      |      3812     |
| Din părţile Transilvaniei  | Traian Dorz | articol |      807      |      4724     |
| Din Preistorie coboară     | Traian Dorz |  poezie |       26      |      107      |
| Din părţile Transilvaniei  | Traian Dorz | articol |      852      |      4560     |
| Din părţile Crişanei       | Traian Dorz | articol |      1007     |      4935     |
| Din părţile Banatului      | Traian Dorz | articol |      1113     |      5687     |
| Din alte diferite părţi    | Traian Dorz | articol |      1633     |      8069     |
| Troiţă Maramureşeană       | Traian Dorz |  poezie |       30      |      127      |
| Nemuritoarele comori       | Traian Dorz |  poezie |       26      |      100      |
| Adevărul                   | Traian Dorz | articol |       73      |      464      |
| Ascultarea                 | Traian Dorz | articol |       76      |      460      |
| Avuţie                     | Traian Dorz | articol |       64      |      398      |
| Binele                     | Traian Dorz | articol |       79      |      424      |
| Blândeţea                  | Traian Dorz | articol |       62      |      366      |
| Bucuria                    | Traian Dorz | articol |       64      |      351      |
| Bunătatea                  | Traian Dorz | articol |       57      |      329      |
| Cartea                     | Traian Dorz | articol |       71      |      359      |
| Căsnicia                   | Traian Dorz | articol |       66      |      397      |
| Cinstea                    | Traian Dorz | articol |       67      |      379      |
| Cântarea                   | Traian Dorz | articol |       62      |      353      |
| Clevetirea                 | Traian Dorz | articol |       65      |      433      |
| Conştiinţa                 | Traian Dorz | articol |       62      |      372      |
| Copiii                     | Traian Dorz | articol |       71      |      454      |
| Credinţa                   | Traian Dorz | articol |       83      |      503      |
| Cumpătarea                 | Traian Dorz | articol |       71      |      402      |
| Curajul                    | Traian Dorz | articol |       72      |      424      |
| Curăţia                    | Traian Dorz | articol |       48      |      264      |
| Cuvântul                   | Traian Dorz | articol |       70      |      426      |
| Datoria                    | Traian Dorz | articol |       63      |      422      |
| Dragostea                  | Traian Dorz | articol |       87      |      532      |
| Dreptatea                  | Traian Dorz | articol |       61      |      420      |
| Economia                   | Traian Dorz | articol |       60      |      321      |
| Evlavia                    | Traian Dorz | articol |       55      |      305      |
| Familia                    | Traian Dorz | articol |       65      |      425      |
| Fericirea                  | Traian Dorz | articol |       65      |      409      |
| Frica                      | Traian Dorz | articol |       73      |      460      |
| Frumuseţea                 | Traian Dorz | articol |       64      |      375      |
| Grija                      | Traian Dorz | articol |       68      |      432      |
| Hărnicia                   | Traian Dorz | articol |       73      |      412      |
| Iertarea                   | Traian Dorz | articol |       65      |      409      |
| Iubirea                    | Traian Dorz | articol |       72      |      361      |
| Împlinirea                 | Traian Dorz | articol |       56      |      311      |
| Încrederea                 | Traian Dorz | articol |       60      |      385      |
| Îngâmfarea                 | Traian Dorz | articol |       65      |      416      |
| Înţelepciunea              | Traian Dorz | articol |       72      |      463      |
| Judecata                   | Traian Dorz | articol |       73      |      444      |
| Lacrimile                  | Traian Dorz | articol |       63      |      418      |
| Legământul                 | Traian Dorz | articol |       73      |      464      |
| Lenea                      | Traian Dorz | articol |       70      |      434      |
| Libertatea                 | Traian Dorz | articol |       73      |      425      |
| Lumina                     | Traian Dorz | articol |       68      |      408      |
| Mila                       | Traian Dorz | articol |       69      |      451      |
| Minciuna                   | Traian Dorz | articol |       74      |      486      |
| Mânia                      | Traian Dorz | articol |       65      |      420      |
| Moartea                    | Traian Dorz | articol |       65      |      415      |
| Munca                      | Traian Dorz | articol |       74      |      411      |
| Nevinovăţia                | Traian Dorz | articol |       65      |      391      |
| Omenia                     | Traian Dorz | articol |       71      |      412      |
| Ordinea                    | Traian Dorz | articol |       61      |      341      |
| Pacea                      | Traian Dorz | articol |       68      |      425      |
| Păcatul                    | Traian Dorz | articol |       67      |      418      |
| Părinţii                   | Traian Dorz | articol |       62      |      340      |
| 54- Prietenia              | Traian Dorz | articol |       65      |      396      |
| Răsplata                   | Traian Dorz | articol |       71      |      467      |
| Recunoştinţa               | Traian Dorz | articol |       65      |      431      |
| Risipa                     | Traian Dorz | articol |       53      |      301      |
