+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       553       |
|                'cît'                |                'cât'                |              replace_words              | verses |       273       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       268       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       182       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       165       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       119       |
|               'decît'               |               'decât'               |              replace_words              | verses |       110       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        99       |
|                'atît'               |                'atât'               |              replace_words              | verses |        96       |
|                'pînă'               |                'până'               |              replace_words              | verses |        82       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        73       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |        72       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        69       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        67       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        66       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        57       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        54       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        54       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        54       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        53       |
|               'cîntec'              |               'cântec'              |              replace_words              | verses |        53       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        51       |
|                'cînt'               |                'cânt'               |              replace_words              | verses |        50       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        50       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        49       |
|               'cîntă'               |               'cântă'               |              replace_words              | verses |        42       |
|               'plînge'              |               'plânge'              |              replace_words              | verses |        38       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        35       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        35       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        33       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        32       |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        31       |
|               'plîng'               |               'plâng'               |              replace_words              | verses |        30       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        29       |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        28       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        28       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        28       |
|                'Cînd'               |                'Când'               |              replace_words              | title  |        28       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        27       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        26       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        26       |
|               'sfînta'              |               'sfânta'              |              replace_words              | verses |        25       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        24       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        23       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        23       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        23       |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        22       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        21       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        21       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        20       |
|              'plînsul'              |              'plânsul'              |              replace_words              | verses |        19       |
|              'nicicînd'             |              'nicicând'             |              replace_words              | verses |        19       |
|             'nesfîrşit'             |             'nesfârşit'             |              replace_words              | verses |        19       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        19       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        18       |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        18       |
|               'blînd'               |               'blând'               |              replace_words              | verses |        18       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        18       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        17       |
|               'cînta'               |               'cânta'               |              replace_words              | verses |        16       |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        16       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        16       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        16       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        15       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        15       |
|               'plîngi'              |               'plângi'              |              replace_words              | verses |        15       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        15       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        15       |
|               'Sfîntă'              |               'Sfântă'              |              replace_words              | verses |        15       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        15       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        14       |
|               'sînge'               |               'sânge'               |              replace_words              | verses |        14       |
|              'adîncul'              |              'adâncul'              |              replace_words              | verses |        13       |
|               'avînt'               |               'avânt'               |              replace_words              | verses |        13       |
|               'cînte'               |               'cânte'               |              replace_words              | verses |        13       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        13       |
|               'arzînd'              |               'arzând'              |              replace_words              | verses |        13       |
|              'cîntaţi'              |              'cântaţi'              |              replace_words              | verses |        13       |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        13       |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        12       |
|           'binecuvîntare'           |           'binecuvântare'           |              replace_words              | verses |        12       |
|                'vînt'               |                'vânt'               |              replace_words              | verses |        12       |
|               'sfîrşi'              |               'sfârşi'              |              replace_words              | verses |        12       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        12       |
|             'desăvîrşit'            |             'desăvârşit'            |              replace_words              | verses |        12       |
