+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 'T-'                |                  ''                 |          remove_invalid_verses          | verses |       775       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       599       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       599       |
|                'cînd'               |                'când'               |              replace_words              | verses |       554       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       342       |
|                'cît'                |                'cât'                |              replace_words              | verses |       330       |
|                'pînă'               |                'până'               |              replace_words              | verses |       224       |
|               'decît'               |               'decât'               |              replace_words              | verses |       215       |
|                'atît'               |                'atât'               |              replace_words              | verses |       175       |
|            '     Amin. '            |               'Amin.'               |               strip_spaces              | verses |       172       |
|            '     Amin. '            |            '     Amin. '            |               replace_nbsp              | verses |       172       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       150       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       141       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       139       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        77       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        71       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        66       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        66       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        65       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        62       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        61       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        55       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        49       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        46       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        43       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        40       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        40       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        39       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        37       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        35       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        35       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        35       |
|         'Păr. Iosif Trifa. '        |         'Păr. Iosif Trifa.'         |               strip_spaces              | verses |        33       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        32       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        31       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        31       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        31       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        31       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        30       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        30       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        29       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        28       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        27       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        27       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        25       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        24       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        24       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        23       |
|               'osîndi'              |               'osândi'              |              replace_words              | verses |        23       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        22       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        22       |
|               'osînda'              |               'osânda'              |              replace_words              | verses |        21       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        21       |
|              'mîndriei'             |              'mândriei'             |              replace_words              | verses |        20       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        19       |
|              'mîndrie'              |              'mândrie'              |              replace_words              | verses |        18       |
|               'mînie'               |               'mânie'               |              replace_words              | verses |        18       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        18       |
|               'încît'               |               'încât'               |              replace_words              | verses |        18       |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        17       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        17       |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        17       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        17       |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        17       |
|             'mîntuiască'            |             'mântuiască'            |              replace_words              | verses |        17       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        16       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        16       |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        15       |
|              'rămînea'              |              'rămânea'              |              replace_words              | verses |        15       |
|                'Cîtă'               |                'Câtă'               |              replace_words              | verses |        15       |
|       '     O Doamne Isuse, '       |          'O Doamne Isuse,'          |               strip_spaces              | verses |        14       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        14       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        14       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        14       |
|              'osîndit'              |              'osândit'              |              replace_words              | verses |        14       |
|       '     O Doamne Isuse, '       |       '     O Doamne Isuse, '       |               replace_nbsp              | verses |        14       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        13       |
|               'blînd'               |               'blând'               |              replace_words              | verses |        13       |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        13       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        13       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        13       |
|               'mînia'               |               'mânia'               |              replace_words              | verses |        13       |
|              'rămînem'              |              'rămânem'              |              replace_words              | verses |        12       |
