+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
|             'Mîngîietor'            |             'Mângâietor'            |              replace_words              | verses |        10       |
| '               ...              +' |                 '+'                 |               strip_spaces              | verses |        9        |
|             'Sfîntului'             |             'Sfântului'             |              replace_words              | verses |        9        |
|              'amîndouă'             |              'amândouă'             |              replace_words              | verses |        9        |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        9        |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        9        |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        9        |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        9        |
|           'Binecuvîntează'          |           'Binecuvântează'          |              replace_words              | verses |        9        |
| '               ...              +' | '               ...              +' |               replace_nbsp              | verses |        9        |
|           'binecuvîntată'           |           'binecuvântată'           |              replace_words              | verses |        8        |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        8        |
|              'nicicînd'             |              'nicicând'             |              replace_words              | verses |        8        |
|             'mîngîiere'             |             'mângâiere'             |              replace_words              | verses |        8        |
|               'Gîndul'              |               'Gândul'              |              replace_words              | verses |        8        |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        8        |
|              'blîndeţe'             |              'blândeţe'             |              replace_words              | verses |        7        |
|              'făcîndu'              |              'făcându'              |              replace_words              | verses |        7        |
|                'Atît'               |                'Atât'               |              replace_words              | verses |        7        |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        7        |
|               'sînul'               |               'sânul'               |              replace_words              | verses |        7        |
|              'rămînem'              |              'rămânem'              |              replace_words              | verses |        7        |
|                'sînt'               |                'sunt'               |              replace_words              | title  |        7        |
|   '- Tu oare numai, să nu fii? ! '  |   '- Tu oare numai, să nu fii? !'   |               strip_spaces              | verses |        6        |
|                'mînă'               |                'mână'               |              replace_words              | verses |        6        |
|              'căutînd'              |              'căutând'              |              replace_words              | verses |        6        |
|               'Facere'              |              'Facerea'              |              replace_words              | verses |        6        |
|             'mîngîierea'            |             'mângâierea'            |              replace_words              | verses |        6        |
|              'rămînea'              |              'rămânea'              |              replace_words              | verses |        6        |
|               'sfînta'              |               'sfânta'              |              replace_words              | verses |        6        |
|             'pămînteşti'            |             'pământeşti'            |              replace_words              | verses |        6        |
|               'vîndut'              |               'vândut'              |              replace_words              | verses |        6        |
|           'binecuvîntate'           |           'binecuvântate'           |              replace_words              | verses |        6        |
|              'Stăpînul'             |              'Stăpânul'             |              replace_words              | verses |        6        |
|               'adînci'              |               'adânci'              |              replace_words              | verses |        6        |
|              'întîmple'             |              'întâmple'             |              replace_words              | verses |        6        |
|             'dobîndirea'            |             'dobândirea'            |              replace_words              | verses |        6        |
|            'Binecuvîntat'           |            'Binecuvântat'           |              replace_words              | verses |        6        |
|              'osîndit'              |              'osândit'              |              replace_words              | verses |        6        |
|               'osînda'              |               'osânda'              |              replace_words              | verses |        6        |
|               'stînga'              |               'stânga'              |              replace_words              | verses |        6        |
|             'stăpîneşte'            |             'stăpâneşte'            |              replace_words              | verses |        6        |
|            'mîntuitoare'            |            'mântuitoare'            |              replace_words              | verses |        6        |
|               'rîndul'              |               'rândul'              |              replace_words              | verses |        6        |
|            'stăpînitorul'           |            'stăpânitorul'           |              replace_words              | verses |        6        |
|        'Slavă  veşnică  Ţie'        |         'Slavă veşnică Ţie'         | replace_multiple_spaces_with_single_one | verses |        6        |
|      'din inimă îmi pare rău. '     |      'din inimă îmi pare rău.'      |               strip_spaces              | verses |        5        |
|       'depinde de voinţa ta. '      |       'depinde de voinţa ta.'       |               strip_spaces              | verses |        5        |
|       'cît eşti cu Hristos. '       |        'cît eşti cu Hristos.'       |               strip_spaces              | verses |        5        |
|              'oricîte'              |              'oricâte'              |              replace_words              | verses |        5        |
|           'binecuvîntare'           |           'binecuvântare'           |              replace_words              | verses |        5        |
|             'mîntuitor'             |             'mântuitor'             |              replace_words              | verses |        5        |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        5        |
|             'simţămînt'             |             'simţământ'             |              replace_words              | verses |        5        |
|              'umblînd'              |              'umblând'              |              replace_words              | verses |        5        |
|              'lucrînd'              |              'lucrând'              |              replace_words              | verses |        5        |
|              'rămîneţi'             |              'rămâneţi'             |              replace_words              | verses |        5        |
|             'sfîrşeşte'             |             'sfârşeşte'             |              replace_words              | verses |        5        |
|              'cîştigul'             |              'câştigul'             |              replace_words              | verses |        5        |
|             'vînzători'             |             'vânzători'             |              replace_words              | verses |        5        |
|              'cîntînd'              |              'cântând'              |              replace_words              | verses |        5        |
|              'vînzării'             |              'vânzării'             |              replace_words              | verses |        5        |
|           'binecuvîntarea'          |           'binecuvântarea'          |              replace_words              | verses |        5        |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        5        |
|               'mînia'               |               'mânia'               |              replace_words              | verses |        5        |
